City,Description,Title,URL,Price,Condition
"Newmarket, NH","
Moving Sale, price reduced! Extremely useful and beautiful storage for your china, glassware and wine! Purchased in 2011 from Jordan's furniture, this item has been lightly used and is in good condition! Utensil organizer in center drawer, all are lined. Dark chestnut wood, granite top. It is a heavy item, so you'd want to have at least two folks with you to pick up.
Dimensions:
68inW x 22inD x 40inH    ",Buffet/Server with lots of storage!,https://nh.craigslist.org/fuo/6173247329.html,$375,good
"SALEM, NH","
Gently  used TEMPUR-Topper Supreme 3"" Mattress Topper from Tempur-Pedic. Made with 3"" for a Full Size Bed. This topper was bought at Bed and Bath  for $350.00. 
 Includes removable cover. Full mattress topper measures 53"" W x 74"" L    ","TEMPUR-Topper Supreme 3"" Mattress Topper from Tempur-Pedic. Made with",https://nh.craigslist.org/fuo/6160140622.html,$150,like new
"Salem, NH","
Great condition. No stains, tears, etc...
Reclines and rocks.    ",Recliner/rocking chair - fabric,https://nh.craigslist.org/fuo/6143122595.html,$50,excellent
"Salem, NH","
Good condition, actually great condition, except one little spot (posted that pic as well).  :(
If you are handy or knows someone that can sew, I am sure it can be fixed.
Had steamed cleaned about 6 months ago, so very clean!    ",2 matching arm chairs w/ matching ottaman,https://nh.craigslist.org/fuo/6143094748.html,$100,good
Hudson,"
It is in a very good condition.    ","TV Cart for Flat Screen TVs up to 26""",https://nh.craigslist.org/fuo/6140811083.html,$10,good
,"
Gorgeous, classic brown leather sofa AND ottoman for sale! This sofa is buttery soft and incredibly comfortable!    ",LEATHER SOFA (RALPH LAUREN!),https://nh.craigslist.org/fuo/6173262246.html,$500,good
Nashua NH,"
Last year we bought the Bismark Camel Futon from Bernie & Phyl's brand new. Only a year old. In the process of moving and looking to sell. Good condition. Barely used. Asking $250 OBO. Will not deliver.    ",Bismark Camel Futon,https://nh.craigslist.org/fuo/6151482552.html,$150,good
"Newmarket, NH","
Moving Sale! Bernhardt dining room set. 6 luxurious cafe brown leather side chairs, 2 arm chairs, and a dining table that seats many (6-10) comfortably (includes 2 leaves). Table and wood on chairs is a dark chestnut. Originally purchased at Jordan's furniture in 2011, has been used only a few times since. In excellent condition! 
Table Dimensions:
78inL x 46inW x 26.5inH
Comes with 2-22in leaves
Would need to pick up, thanks!    ",Dining Room Table and 8 Chairs,https://nh.craigslist.org/fuo/6173254843.html,$850,excellent
Center Ossipee,"
Square wooden table with 4 matching stools. Legs are currently removed for storage.
Square table top measuring 36""X36""
In very good condition! All FOUR stools included (only 2 pictured but all four are identical) 
Cash and pick up in Center Ossipee. Possibility to meet at a public location in Newington or Portsmouth for an extra $10.    ",Square table with 4 matching stools,https://nh.craigslist.org/fuo/6167869164.html,$25,good
Nashua NH,"
Full living room set from a non smoking family. Purchased brand a few years back from Ashley Furniture. Includes couch, love seat, chair, ottoman, two end tables and coffee table with large storage. The coffee table is a bit nicked up.  Furniture is in fair condition. It is the micro fiber material. Selling this as the whole set. Will not deliver. Asking $800 OBO. Diminesions are below:
Couch 8x3x3 
Love seat just under 6x3x3
Chair 4x3x3
Tables 22inx22in
Table- 42in wide, 19in tall and 27in wide
Ottoman- 40inx2x20in    ",Full living room set,https://nh.craigslist.org/fuo/6151496252.html,$600,good
Merrimack,"
Unique piece of furniture than can be used as either a platform bed or futon.  Queen size.  If used as a futon a traditional queen sized futon mattress would not fit well, it needs what I think is called a waterfall style to be the perfect fit as it's a tri fold style (just want to be upfront).  I've never used that and just had the full size futon mattress and actually like that since it was a more snug fit and stayed put better without slipping.  Can also be used with a regular queen mattress as a platform style frame.  Nice hardwood quality piece of furniture.  Very sturdy.  Because of the tri fold design it will probably fit in the back of some SUV's (or a minivan) if your seats fold down which is how I got it home.  Asking $30 and would like it gone ASAP.    ",Queen Platform Bed frame/Futon,https://nh.craigslist.org/fuo/6170022261.html,$30,good
,"
Bob's Gavin 4-Piece Queen Bedroom set. Set comes with Dresser, Mirror, Night Stand, Queen Bed with Storage, Chest. 3 Years old in great condition. We are renovating and can no longer fit this set in our home.    ",Bob's Gavin 4-Piece Queen Bedroom Set,https://nh.craigslist.org/fuo/6173263683.html,$700,excellent
Hampton Falls,"
Car themed dresser for sale. This spacious 8 drawer dresser would be an awesome addition to any car fanatic's bedroom or a playroom.
All drawers are dovetail and in great shape.
Fun car themed knobs on each drawer and a checked flag pattern stenciled on each drawer.
Colors are classic red, Twilight blue and metallic silver. The entire dresser was sprayed with a semi gloss polycrylic for protection.
Asking $299.
Dimensions: 
38"" length
37"" height
16.5"" depth    ",Car Themed Dresser,https://nh.craigslist.org/fuo/6140570996.html,$299,good
"Fremont, NH","
Great heavy duty bookcase.  Measurements are 37"" wide, 29"" high and 11.50"" deep.  Comes with one shelf which is adjustable.  Has a blemish on top (see photo).  Otherwise, in excellent condition.  Was used as bedside table because height was just right for the bed.  From a pet and smoke free home.",Bookcase,https://nh.craigslist.org/fuo/6160383353.html,$25,excellent
Belmont,"
Elegant resin wicker porch rockers and table set
A beautiful and functional outside porch set consisting of two rockers with cushions and a glass top matching side table.  The chairs and table are constructed with resin wicker that holds up to the weather and only requires occasional washings.  These are used chairs and table that have been outside as intended.  There is some brittle parts of the plastic where it wraps around the frame.  They are still functional chairs for the price.",Elegant resin wicker porch rockers and table set,https://nh.craigslist.org/fuo/6133375476.html,$230,good
Hampton Falls,"
Old wooden ladder repurposed into a coat rack. The entire ladder was sanded, given a weathered look and then I attached six blue and red distressed hooks. Now it has the quintessential New England charm and nautical colors!
Now for sale at $199 and ready for a new home!
These rustic beauties add a lot of character to a home, added organization and always are a conversation piece.
Ladders are fairly easy to attach to a wall. Find the studs and use 3-4 L brackets spaced evenly on the underside of the ladder on the top.
Dimensions:
60"" Length
19.5"" Height
2.5"" Depth    ",Ladder Coat Rack,https://nh.craigslist.org/fuo/6147238198.html,$199,good
Hampton Falls,"
Revitalized antique table for sale. Asking $149.
Colors are soft white and metallic gold.
Dimensions:
Height
30.5""
Top measures 28""x22""
Shelf measures 17""X11""
FREE DELIVERY IN SEACOAST AREA    ",Antique White & Gold Table,https://nh.craigslist.org/fuo/6152803633.html,$149,good
Belmont,"
Beautiful solid wood desk
This solid wood desk will make a great student desk or a home or small office desk.  Very versatile and will compliment any room or office.
Size:
42""w x 20""d x 30""h
8 drawers (4 on left, 3 on right - one of which holds files, 1 in middle.)  
Asking $100.  Cash and carry please.
Reply to this listing.",Solid wood desk,https://nh.craigslist.org/fuo/6173280409.html,$100,good
"Nashua, NH","
American Furniture Classics Lateral File with 2-Drawer 
    Two large file drawers
    Full extension metal ball bearing drawer guides
    Nickel finished metal drawer pulls
    Locking feature included
    Anti tip mechanism
Technical Details
Item Weight 	75 pounds
Product Dimensions 	19.5 x 30 x 30 inches
Origin 	Imported
Item model number 	22112
Assembled Height 	30 inches
Assembled Width 	30.7 inches
Assembled Length 	19.5 inches
Weight 	77 Pounds
Pre-owned, barely used
Domestic pick up only
Cash only    ",American Furniture Classics Lateral File with 2-Drawer,https://nh.craigslist.org/fuo/6130676360.html,$100,like new
"Nashua, NH","
Hungerford, Memphis Mahogany 5 Drawer Dresser - dove tailed drawers. All original pulls attached. Measures 44 3/4"" Height, 36"" Width, 18 1/2"" Depth.  Solid hard wood! $165
Interesting article on Hungerford Furniture and Elvis Presley:
http://www.elvisechoesofthepast.com/elvis-presley-and-the-hungerford-furniture-company-december-12-1956/    ","Hungerford, Memphis 5 Drawer Mahogany Dresser",https://nh.craigslist.org/fuo/6163317094.html,$165,good
"Fremont, NH","
Nice little office chair newly upholstered in blue and white Waverly fabric.  Great for home office or craft room.  Seat adjusts up and down.    ",Newly Upholstered Office Chair,https://nh.craigslist.org/fuo/6130371411.html,$25,excellent
Wolfeboro,"
This is such a well made and stunning rug! It's hand tufted 100% wool pile, the overall material is 75% wool and 25% cotton. An amazing price for a rug of this quality.    ",Price Reduced by $250 Really Beautiful and Unique Wool Rug !,https://nh.craigslist.org/fuo/6166905490.html,$195,excellent
"Nashua,NH","
Brand new simmons beauty rest box spring for sale. We bought a platform bed frame and so didn't need this box spring that came with the mattress as a set.
Please contact me by email.",brand new queen box spring foundation,https://nh.craigslist.org/fuo/6173300379.html,$60,new
Wolfeboro,"
What a look and feel this two piece set has. You'll never want to sit in another chair for the rest of your life.    ",40 % OFF Amazing Rocking ; Swiveling Rattan Chair w/ Stool !  Comfy,https://nh.craigslist.org/fuo/6167396401.html,$95,excellent
"Bow,NH","
Beautiful table and bench in excellent condition.    ",Teak table and bench,https://nh.craigslist.org/fuo/6173309477.html,$100,like new
Rochester NH,"
Beautiful handmade solid wood ""rustic"" style desk with detachable hutch top.
It is 40""long, 18""wide, 70""tall with hutch, 31"" without.
100.00 or make an offer.
Thanks for looking.    ",**Handmade Beautiful Desk w/Hutch Top,https://nh.craigslist.org/fuo/6168885142.html,$100,excellent
,"
Beautiful antique tables. Excellent condition.    ",Beautiful tables,https://nh.craigslist.org/fuo/6173303265.html,$20,excellent
Seacoast,"
This table was custom made in about 2000 by James taylor of Maine. It is 100% birds eye maple, a full 10 feet long when both leaves are put in place. It has a solid steel expanding, locking mechanism. The legs are American Walnut. It comes with 8 Maple chairs was over $8,000 when new and has been lightly used.    ",Birds Eye Maple /Walnut Dinning Room Table,https://nh.craigslist.org/fuo/6173206307.html,$800,like new
Brentwood,"
Original. Very a Good Condition. Never painted. Great for diy projects. Rollers work.
603-512-zero one two nine    ",Singer Sewing Machine Iron Legs,https://nh.craigslist.org/fuo/6160879521.html,$65,good
Amherst,"
Apple Theme Hand Painted (on all four sides) Solid Wood Storage Crate 16"" x 10"" x 8"" **These are Available**
Wood Apple Wall Plaque being sold as a set, both for $15
Excellent Condition, Clean, Smoke Free Home
Pick up only in Amherst, thank you    ",Wood Storage Crate with Wall Plaque,https://nh.craigslist.org/fuo/6171030135.html,$15,excellent
Merrimack,"
For sale is a Pottery Barn wood shelving unit. It is in excellent condition and is suitable for many uses of storage where a wall unit is desired. $65 O.B.O. Thanks for reading!    ",Pottery Barn wood shelving unit,https://nh.craigslist.org/fuo/6173194885.html,$65,excellent
"Amhest, NH","
Lawson Server by Liberty Furniture Wine Sideboard/Buffet's transitional styling works in any d̩cor. The two tone finish is as durable as it is beautiful with the UV Top Coat that protects the table top from scratching and marring. The server is a unique open design with angled legs and shelves that allow for display storage.
In excellent condition. Sells new for $699.99.
Color:
     Brown
Features:
    Center doors for storage
    Wine storage
    Side shelf display
    Lawson collection
Dimensions and weight:
    Overall: 33"" H x 60"" W x 18"" D
    Overall Product Weight: 99 lbs",Lawson Server by Liberty Furniture Wine Sideboard/Buffet,https://nh.craigslist.org/fuo/6173173283.html,$490,like new
Hudson,"
For sale is a nice, large vintage dining room Hutch / China cabinet. Measures 45 1/2W x 70H x 15D and is in great condition. It has one large glass door on top with display shelves behind. Below are 2 side doors and in the center below is 1 drawer and center door with additional storage space behind. Asking $85.00    ",** Nice Large Vintage Hutch / China Cabinet **,https://nh.craigslist.org/fuo/6173186213.html,$85,good
"Derry, NH","
Mattress and boxspring in great shape and very comfortable.    ",Full-size Mattress and Boxspring,https://nh.craigslist.org/fuo/6173187912.html,$15,good
NH,"
WILL NOT ANSWER ANY TEXT OR E-MAILS SO DON'T EVEN BOTHER!!!
I HAVE A BEAUTIFUL COUCH AND LOVE SEAT THAT I WILL NOT SEPERATE.  BEIGE IN COLOR PRICE INCLUDES 5 TOSS PILLOWS.
COST WHEN NEW WAS $ 950.00---WILL NOT BE DISAPPOINTED NEVER USED NEVER SAT INTO
LIKE BRAND NEW
PRICE FOR THE SET IS $ 500.00 B/O
I HAVE A 7' 6"" X 9' 6"" 100% WOOL RUG IN FANTASTIC SHAPE.
MATCHES THE COUCH AND LOVESEAAT ABOVE.
RUG SOLD FOR NEW OF $ 700.00
PRICE FOR THE RUG IS $ 350.00 B/O
WILL SELL THE WHOLE SET AS A PACKAGE ALL 3 PIECES PLUS THE 5 TOSS PILLOWS FOR    $ 750.00
CALL MIKE FOR MORE DETAILS. 
 

WILL NOT ANSWER ANY TEXT OR EMAILS SO DON'T EVEN BOTHER    ",COUCH--LOVESEAT--100% WOOL MATCHING RUG ALL IN NEW CONDITION,https://nh.craigslist.org/fuo/6169569103.html,$850,like new
Windham,"
Beautiful and perfect condition IKEA PAX ARDAL wardrobe doors, grey smoked glass with aluminum border. Comes with hardware. 
Appx 7ft x 40 in each.
For sale as the wardrobe didn't fit in the house when we moved so we cut It down to make other pieces.
Pick up in Windham. Other offers considers!    ",Two IKEA PAX Wardrobe Sliding Doors With Grey Glass,https://nh.craigslist.org/fuo/6148858535.html,$175,like new
Raymond,"
Not sure what this was used for. 28"" wide x 36 1/4"" high x 7 1/4 deep. We live on the Raymond / Candia town line. About 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ",Old Wood Gun Rack? Holder From Our Barn,https://nh.craigslist.org/fuo/6142427303.html,$5,good
Raymond,"
48"" wide x 31 1/2"" high. We live on the Raymond / Candia town line, about 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ",Antique Heavy Wood Kitchen Table,https://nh.craigslist.org/fuo/6162891528.html,$55,excellent
Raymond,"
23"" wide x 23 1/4"" deep x 28 1/2"" high. We live on the Raymond / Candia town line, about 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ",Antique Modern Wood & Leather Chair,https://nh.craigslist.org/fuo/6142426670.html,$100,good
Milford,"
Pick up..no holds.. white distressed..47 1/2 L x 27 D x 27 T    ",*******Beautiful distressed corner tv stand**********,https://nh.craigslist.org/fuo/6168622540.html,$139,excellent
Londonderry,"
All chairs are in nice shape
These are for small children up to 4 (I would guess)
$25.00 each
Thank you    ",Vintage Childs Rocking Chairs,https://nh.craigslist.org/fuo/6153865662.html,$25,good
Concord NH,"
This is an adorable bookcase. I bought chalk paint and was going to redo it but lacked the motivation. It is a perfect project for someone.
Height ~36""
Depth ~9.5""
Width ~ 21""
Located in Concord, clean, smoke free home.    ",Small bookcase- perfect project!,https://nh.craigslist.org/fuo/6173081651.html,$15,good
Raymond,"
16 1/2"" square x 18 1/2"" tall. We live on the Raymond / Candia town line, about 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ",Antique White Wicker Fancy Table / Stand,https://nh.craigslist.org/fuo/6173081314.html,$40,excellent
Londonderry,"
Nice piece
48"" Tall
24""x9""
2 Shelves can come out and height adjusted 
$45.00
Thank you    ",Maple Standing Display Shelf,https://nh.craigslist.org/fuo/6146445130.html,$45,good
Londonderry,"
Nice piece, Different
385""x13""  35"" Tall
Inside dimensions 35""x11"" 8"" Deep
Seat to floor 19""
Only issues there it has one of those stick on hooks bracket left on , Hair dryer should remove it
65.00 
Thank you    ",Hardwood Bench/Chest,https://nh.craigslist.org/fuo/6140722245.html,$65,good
Laconia,"
These are in good condition.    ",Drop leaf end tables,https://nh.craigslist.org/fuo/6162770257.html,$100,good
Londonderry,"
Nice table
Hardwood/ Tile
33""x19"" 15"" Tall
$25.00
Thank you    ",Vintage Coffee Table,https://nh.craigslist.org/fuo/6149866617.html,$25,good
Londonderry,"
Different,
Pine
32'x14"" 23"" Tall
$55.00
Thank you    ",Pine Craft Cart,https://nh.craigslist.org/fuo/6140731302.html,$55,good
Londonderry,"
Both in nice shape
$25.00
Thank you    ",Vintage Hardwood Fold Away Seats,https://nh.craigslist.org/fuo/6132170692.html,$25,good
Londonderry,"
Nice  Seat                    
$20.00                                                        
Thank you    ",Vanity Seat,https://nh.craigslist.org/fuo/6136791989.html,$20,good
Portsmouth,"
Bedroom furniture set with queen size mattress included is only 1 year old in excellent condition. I'm relocating the 1st of July and it will be available for sell in 2 weeks!!    ",Euro Cottage Bedset with mattress included!!!!!,https://nh.craigslist.org/fuo/6173076837.html,$1358,excellent
Tyngsboro,"
I have several 2 draw pedestal files they are on wheels and have a cushion on top to sit on . They are white with red cushions .They are 18 in deep by 23 in high and 15 in wide    ",2 Draw pull pedestal files,https://nh.craigslist.org/fuo/6169561473.html,$50,excellent
Milford,"
Pick up milford..no holds.. solid wood.. very heavy.. dove tail drawers.. grey.. 60"" L x 19"" D x 34"" T    ",****** Beautiful tv stand/bureau******,https://nh.craigslist.org/fuo/6173081087.html,$275,excellent
londonderry,"
nice set
25""x8"" 6"" Deep
Height between shelves 7""
$20.00
Thank you    ",Thick Pine Corner shelfs,https://nh.craigslist.org/fuo/6151211306.html,$20,good
Londonderry,"
Nice table
Table has been Prime
31'"" Diameter when leafs are up
36"" Tall
When leafs are down 7"" Across nice for storage
$35.00
Thank you    ",Vintage Table,https://nh.craigslist.org/fuo/6162173898.html,$35,good
Londonderry,"
Nice shape, Thick maple
25"" x12""
Shelf space Height  9""
$15.00
Thank you    ",Vintage Book Stand,https://nh.craigslist.org/fuo/6162718157.html,$15,good
Londonderry,"
Different                                           
Wood and Metal.                               
 30""x14""  25"" Tall.                             
 $15.00
 Thank you    ",Accent Table,https://nh.craigslist.org/fuo/6152456795.html,$15,good
Laconia,"
Unique carved table,approx.15""x 18""x 30""h. Good cond
  Also small table w/drop down leafs $20 fair cond. will take $30 for both.                                     calls only    ",Unique table,https://nh.craigslist.org/fuo/6173082867.html,$20,good
Londonderry,"
Nice piece
Solid and sturdy
30"" Diameter
22"" tall
13"" when leaves are down
$35.00
Thank you    ",Hardwood Table,https://nh.craigslist.org/fuo/6138197638.html,$35,good
londonderry,"
Nice piece
24""x11"" 19"" Tall
$25.00
Thank you    ",Wood table,https://nh.craigslist.org/fuo/6138198528.html,$25,good
Londonderry,"
Nice set ,New condition 
Metal / Cloth 
33"" Tall 
15"" Diameter
$45.00
Thanks    ",Fold Away Stools (4),https://nh.craigslist.org/fuo/6154943362.html,$45,like new
Londonderry,"
Nice piece, Not sure how old 
6 ft Tall 
Top Rack 21"" Diameter
Bottom 16"" Diameter 
Top Rack spins around
Can be broke down into 3 pieces
$45.00
Thank you    ",Vintage Manogany Hat/ Coat Standing Rack,https://nh.craigslist.org/fuo/6154952632.html,$45,good
Raymond,"
37 3/4"" wide x 19 1/2"" deep x 29"" high. We live on the Raymond / Candia town line, about 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ",Old Antique Grain Box,https://nh.craigslist.org/fuo/6158453929.html,$135,excellent
Raymond,"
35 1/2"" wide x 13"" deep x 9 1/2"" high. We live on the Raymond / Candia town line, about 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ","Antique Dresser, Cupboard 3 Drawer Top Stand",https://nh.craigslist.org/fuo/6129751550.html,$50,excellent
Raymond,"
39 1/2"" wide x 51"" high x 12 1/2"" deep. The bottom opening is 24 3/4 high before the first shelf.  We live on the Raymond / Candia town line, about 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ","Denmark Bookcase, Shelving or Headboard for Twin",https://nh.craigslist.org/fuo/6142429669.html,$30,excellent
Raymond,"
23 1/2"" x 38"" high x 7 1/2' deep. We live on the Raymond / Candia town line, 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ","Wood DVD, CD, Book Rack, Holder",https://nh.craigslist.org/fuo/6158463876.html,$20,excellent
Raymond,"
55 1/2"" high.  We live on the Raymond / Candia town line, about 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ","Tall Standing Swing, Swivel, Adjustable Arm Brass Lamp",https://nh.craigslist.org/fuo/6129752120.html,$25,excellent
Raymond,"
15 1/4"" tall x 12"" wide x 11 3/4"" deep. We live on the Raymond / Candia town line, about 15 minutes from Manchester. Please include your phone number if interested. Thanks.    ",Old Black Iron Magazine Rack,https://nh.craigslist.org/fuo/6129753183.html,$5,excellent
Sullivan,"
Have 4 waiting room chairs in good condition asking $40.00 or BO    ",Waiting room chairs - 4,https://nh.craigslist.org/fuo/6173090541.html,$40,good
